source-Governor,source-Party,target-Governor's Name,target-State,target-Time in Office,target-Party
Lawrence Sullivan Ross,Democratic,Gov. Lawrence Sullivan Ross,Texas,(1887 - 1891),Democrat
James Stephen Hogg,Democratic,Gov. James Stephen Hogg,Texas,(1891 - 1895),Democrat
Charles A. Culberson,Democratic,Gov. Charles Allen Culberson,Texas,(1895 - 1899),Democrat
Joseph D. Sayers,Democratic,Gov. Joseph Draper Sayers,Texas,(1899 - 1903),Democrat
S. W. T. Lanham,Democratic,Gov. Samuel Willis Tucker Lanham,Texas,(1903 - 1907),Democrat
Thomas Mitchell Campbell,Democratic,Gov. Thomas Mitchell Campbell,Texas,(1907 - 1911),Democrat
Oscar Branch Colquitt,Democratic,Gov. Oscar Branch Colquitt,Texas,(1911 - 1915),Democrat
"James E. ""Pa"" Ferguson",Democratic,Gov. James Edward Ferguson,Texas,(1915 - 1917),Democrat
William P. Hobby,Democratic,Gov. William Pettus Hobby,Texas,(1917 - 1921),Democrat
Pat Morris Neff,Democratic,Gov. Pat Morris Neff,Texas,(1921 - 1925),Democrat
Dan Moody,Democratic,Gov. Daniel J. Moody,Texas,(1927 - 1931),Democrat
Ross S. Sterling,Democratic,Gov. Ross S. Sterling,Texas,(1931 - 1933),Democrat
James V. Allred,Democratic,Gov. James V. Allred,Texas,(1935 - 1939),Democrat
W. Lee O'Daniel,Democratic,Gov. Wilbert Lee O'Daniel,Texas,(1939 - 1941),Democrat
Coke R. Stevenson,Democratic,Gov. Coke R. Stevenson,Texas,(1941 - 1947),Democrat
Beauford H. Jester,Democratic,Gov. Beauford Halbert Jester,Texas,(1947 - 1949),Democrat
Allan Shivers,Democratic,Gov. Allan Shivers,Texas,(1949 - 1957),Democrat
Price Daniel,Democratic,Gov. Price Daniel,Texas,(1957 - 1963),Democrat
John Connally,Democratic,Gov. John Bowden Connally,Texas,(1963 - 1969),Democrat
Preston Smith,Democratic,Gov. Preston Smith,Texas,(1969 - 1973),Democrat
Dolph Briscoe,Democratic,Gov. Dolph Briscoe,Texas,(1973 - 1979),Democrat
Mark White,Democratic,Gov. Mark White,Texas,(1983 - 1987),Democrat
Ann Richards,Democratic,Gov. Dorothy Ann Willis Richards,Texas,(1991 - 1995),Democrat
George W. Bush,Republican,Gov. George W. Bush,Texas,(1995 - 2000),Republican
Rick Perry,Republican,Gov. Rick Perry,Texas,(2000 - 2015),Republican
