Governor,Party
James Pinckney Henderson,Democratic
George T. Wood,Democratic
Peter Hansborough Bell,Democratic
James W. Henderson,Democratic
Elisha M. Pease,Unionist
Hardin R. Runnels,Democratic
Sam Houston,Independent
Edward Clark,Democratic
Francis R. Lubbock,Democratic
Pendleton Murrah,Democratic
Fletcher Summerfield Stockdale,Military
Andrew J. Hamilton,Democratic-Military
James W. Throckmorton,Democratic
Elisha M. Pease,Republican
Edmund J. Davis,Republican
Richard Coke,Democratic
Richard B. Hubbard,Democratic
Oran M. Roberts,Democratic
John Ireland,Democratic
Lawrence Sullivan Ross,Democratic
James Stephen Hogg,Democratic
Charles A. Culberson,Democratic
Joseph D. Sayers,Democratic
S. W. T. Lanham,Democratic
Thomas Mitchell Campbell,Democratic
Oscar Branch Colquitt,Democratic
"James E. ""Pa"" Ferguson",Democratic
William P. Hobby,Democratic
Pat Morris Neff,Democratic
"Miriam A. ""Ma"" Ferguson",Democratic
Dan Moody,Democratic
Ross S. Sterling,Democratic
"Miriam A. ""Ma"" Ferguson",Democratic
James V. Allred,Democratic
W. Lee O'Daniel,Democratic
Coke R. Stevenson,Democratic
Beauford H. Jester,Democratic
Allan Shivers,Democratic
Price Daniel,Democratic
John Connally,Democratic
Preston Smith,Democratic
Dolph Briscoe,Democratic
Bill Clements,Republican
Mark White,Democratic
Bill Clements,Republican
Ann Richards,Democratic
George W. Bush,Republican
Rick Perry,Republican
Greg Abbott,Republican
