governor,Term of office
George Clinton; Jul 26 1739 - Apr 20 1812; (aged 72),Jul 30 1777 - Jun 30 1795
John Jay; Dec 23 1745 - May 17 1829; (aged 83),Jul 1 1795 - Jun 30 1801
George Clinton; Jul 26 1739 - Apr 20 1812; (aged 72),Jul 1 1801 - Jun 30 1804
Morgan Lewis; Oct 16 1754 - Apr 7 1844; (aged 89),Jul 1 1804 - Jun 30 1807
Daniel D. Tompkins; Jun 21 1774 - Jun 11 1825; (aged 50),Jul 1 1807 - Feb 24 1817
John Tayler; Jul 4 1742 - Mar 19 1829; (aged 96); (Acting),Feb 24 1817 - Jun 30 1817
DeWitt Clinton; Mar 2 1769 - Feb 11 1828; (aged 58),Jul 1 1817 - Dec 31 1822
Joseph C. Yates; Nov 9 1768 - Mar 19 1837; (aged 68),Jan 1 1823 - Dec 31 1824
DeWitt Clinton; Mar 2 1769 - Feb 11 1828; (aged 58),Jan 1 1825 - Feb 11 1828
Nathaniel Pitcher; Nov 30 1777 - May 25 1836; (aged 58),Feb 11 1828 - Dec 31 1828
Martin Van Buren; Dec 5 1782 - Jul 24 1862; (aged 79),Jan 1 1829 - Mar 12 1829
Enos T. Throop; Aug 21 1784 - Nov 1 1874; (aged 90),Mar 12 1829 - Dec 31 1832
William L. Marcy; Dec 12 1786 - Jul 4 1857; (aged 70),Jan 1 1833 - Dec 31 1838
William H. Seward; May 16 1801 - Oct 10 1872; (aged 71),Jan 1 1839 - Dec 31 1842
William C. Bouck; Jan 7 1786 - Apr 19 1859; (aged 73),Jan 1 1843 - Dec 31 1844
Silas Wright; May 24 1795 - Aug 27 1847; (aged 52),Jan 1 1845 - Dec 31 1846
John Young; Jun 12 1802 - Apr 23 1852; (aged 49),Jan 1 1847 - Dec 31 1848
Hamilton Fish; Aug 3 1808 - Sep 7 1893; (aged 85),Jan 1 1849 - Dec 31 1850
Washington Hunt; Aug 5 1811 - Feb 2 1867; (aged 55),Jan 1 1851 - Dec 31 1852
